Abelmoschus esculentus
Abies alba
Abies balsamea
Abies pindrow
Abies pinsapo
Abrus precatorius
Abutilon indicum
Abutilon ramosum
Acacia aroma
Acacia auriculiformis
Acacia caven
Acacia concinna
Acacia dealbata
Acacia decurrens
Acacia farnesiana
Acacia jacquemontii
Acacia lenticularis
Acacia leucophloea
Acacia mearnsii
Acacia modesta
Acacia nilotica
Acacia planifrons
Acacia polyacantha
Acacia senegal
Acacia sinuata
Acacia torta
Acacia tortilis
Acalypha hispida
Acalypha indica
Acanthospermum hispidum
Acca sellowiana
Acer caesium
Achillea millefolium
Achillea santolina
Achyranthes aspera
Achyranthes bidentata
Acinos alpinus
Acmella oleracea
Acmella paniculata
Aconitum chasmanthum
Aconitum ferox
Aconitum gymnandrum
Aconitum heterophylloides
Aconitum heterophyllum
Aconitum lethale
Aconitum napellus
Aconitum palmatum
Aconitum violaceum
Acorus calamus
Acorus gramineus
Acrostichum aureum
Actaea cimicifuga
Actaea racemosa
Actinidia arguta
Actiniopteris radiata
Actinodaphne gullavara
Actinoscirpus grossus
Adansonia digitata
Adenanthera pavonina
Adenosma indianum
Adiantum capillus-veneris
Adiantum caudatum
Adiantum incisum
Adiantum lunulatum
Adiantum pedatum
Aegialitis rotundifolia
Aegiceras corniculatum
Aegle marmelos
Aeollanthus pubescens
Aerva javanica
Aerva lanata
Aeschynomene brasiliana
Aesculus assamica
Aesculus hippocastanum
Aesculus indica
Aframomum melegueta
Aganosma dichotoma
Agave sisalana
Ageratina adenophora
Ageratum conyzoides
Ageratum houstonianum
Aglaia elaeagnoidea
Aglaia odorata
Agrimonia eupatoria
Agrimonia pilosa
Agrostemma githago
Ailanthus altissima
Ailanthus excelsa
Ailanthus triphysa
Ajania fruticulosa
Ajuga integrifolia
Ajuga macrosperma
Alangium salviifolium
Albizia amara
Albizia julibrissin
Albizia lebbeck
Albizia lucidior
Albizia odoratissima
Albizia saman
Aleurites moluccanus
Alhagi maurorum
Alisma plantago
Alisma plantago-aquatica
Alkanna tinctoria
Allamanda blanchetii
Allamanda cathartica
Allium ascalonicum
Allium cepa
Allium chinense
Allium sativum
Allium tuberosum
Alocasia fornicata
Aloe vera
Aloysia citriodora
Aloysia gratissima
Alpinia calcarata
Alpinia galanga
Alpinia japonica
Alpinia malaccensis
Alpinia nigra
Alpinia officinarum
Alpinia zerumbet
Alstonia macrophylla
Alstonia scholaris
Alstonia venenata
Alternanthera pungens
Althaea officinalis
Altingia excelsa
Amaranthus caudatus
Amaranthus retroflexus
Amaranthus tricolor
Amaranthus viridis
Amberboa ramosa
Ammi majus
Ammi visnaga
Amomum subulatum
Amomum testaceum
Amomum villosum
Amorpha fruticosa
Amorphophallus paeoniifolius
Anacardium occidentale
Anacyclus pyrethrum
Anagallis arvensis
Anamirta cocculus
Ananas comosus
Anaphalis contorta
Anaphalis triplinervis
Anastatica hierochuntica
Ancistrocladus heyneanus
Andrographis paniculata
Anemone obtusiloba
Anemone rivularis
Anethum graveolens
Anethum sowa
Angelica archangelica
Angelica glauca
Angelica sinensis
Anisochilus carnosus
Anisomeles heyneana
Anisomeles indica
Annona atemoya
Annona cherimola
Annona glabra
Annona montana
Annona muricata
Annona reticulata
Annona squamosa
Anoectochilus roxburghii
Anogeissus acuminata
Anogeissus latifolia
Anthemis cotula
Anthriscus cerefolium
Anthriscus nemorosa
Anthriscus sylvestris
Antiaris toxicaria
Antidesma bunius
Antigonon leptopus
Aphanamixis polystachya
Apium graveolens
Aquilaria agallocha
Aquilaria malaccensis
Aquilaria sinensis
Aquilegia vulgaris
Arabidopsis thaliana
Arachis hypogaea
Araucaria cunninghamii
Arbutus unedo
Arctium lappa
Arctostaphylos uva-ursi
Ardisia macrocarpa
Ardisia paniculata
Areca catechu
Argania spinosa
Argemone mexicana
Argemone ochroleuca
Argemone subfusiformis
Argyreia cuneata
Argyreia nervosa
Arisaema tortuosum
Aristolochia bracteolata
Aristolochia fontanesii
Aristolochia indica
Armoracia rusticana
Arnebia euchroma
Arnica montana
Arrhenatherum elatius
Artemisia abrotanum
Artemisia absinthium
Artemisia annua
Artemisia biennis
Artemisia capillaris
Artemisia dracunculus
Artemisia gmelinii
Artemisia judaica
Artemisia laciniata
Artemisia macrocephala
Artemisia maritima
Artemisia myriantha
Artemisia nilagirica
Artemisia persica
Artemisia roxburghiana
Artemisia salsoloides
